r (A),g(r)_weighted_K-Cl,g(r)_weighted_Li-Cl,S_i_K-Cl,S_i_Li-Cl,Average_SCL,SCL_BC
0.3073279853426713,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3112680877188595,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3152081900950476,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3191482924712356,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3230883948474237,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3270284972236118,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3309685995997999,0.0,0.0,1.0,1.0,2.692709838088354,0
0.334908701975988,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3388488043521761,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3427889067283642,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3467290091045523,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3506691114807404,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3546092138569285,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3585493162331166,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3624894186093047,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3664295209854928,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3703696233616809,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3743097257378689,0.0,0.0,1.0,1.0,2.692709838088354,0
0.378249828114057,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3821899304902452,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3861300328664332,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3900701352426213,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3940102376188094,0.0,0.0,1.0,1.0,2.692709838088354,0
0.3979503399949975,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4018904423711856,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4058305447473737,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4097706471235618,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4137107494997499,0.0,0.0,1.0,1.0,2.692709838088354,0
0.417650851875938,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4215909542521261,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4255310566283142,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4294711590045023,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4334112613806904,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4373513637568785,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4412914661330666,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4452315685092546,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4491716708854428,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4531117732616309,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4570518756378189,0.0,0.0,1.0,1.0,2.692709838088354,0
0.460991978014007,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4649320803901952,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4688721827663832,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4728122851425713,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4767523875187594,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4806924898949475,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4846325922711356,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4885726946473237,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4925127970235118,0.0,0.0,1.0,1.0,2.692709838088354,0
0.4964528993996999,0.0,0.0,1.0,1.0,2.692709838088354,0
0.500393001775888,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5043331041520761,0.0,0.0,1.0,1.0,2.692709838088354,0
0.5082732065282642,0.0,0.0,1.0,1.0,2.692709838088354,0
